2019, 0
2004, 25
2009, -3
2003, 20
2010, 14
2004, 21
2018, 28
2008, -4
2020, 32
2012, 1
2023, 5
2025, 12
2012, 33
2014, 7
2018, 21
2009, 16
2000, 8
2014, 20
2006, 21
2009, 16
2006, 13
2010, 2
2005, 20
2011, -3
2024, -3
2023, -4
2001, -1
2010, 16
2010, 25
2005, 27
2000, 10
2019, 22
2018, 35
2008, -6
2016, 14
2018, 28
2002, 29
2000, -3
2021, 2
2015, 29
2001, 19
2014, 11
2018, 11
2009, 30
2010, 14
2015, 18
2023, 6
2025, 26
2012, 13
2006, 2
2006, 30
2004, 29
2006, 13
2024, 7
2009, -10
2025, 32
2015, -7
2014, -3
2008, 22
2015, 2
2020, 0
2017, 34
2025, 10
2013, -3
2021, 3
2023, -2
2024, 5
2006, 10
2008, 21
2006, 4
2024, 9
2018, 33
2013, 6
2023, -10
2002, 34
2003, 6
2009, 10
2019, 21
2004, 9
2024, -1
2024, 20
2019, 2
2004, 8
2019, 13
2017, 14
2020, 14
2013, -5
2010, 10
2019, 13
2023, 4
2022, -3
2002, -9
2001, 33
2007, 17
2000, 30
2006, 14
2017, 5
2025, 19
2024, 10
2004, -6
2005, 33
2000, 25
2025, -10
2023, 20
2002, -1
2012, -5
2001, 6
2006, 9
2023, 9
2010, 22
2021, -8
2017, 3
2012, 26
2004, 1
2024, 21
2023, 22
2012, 27
2006, -5
2011, 13
2020, 5
2003, 2
2021, 16
2010, 34
2025, 18
2004, 21
2024, -3
2010, 15
2006, 33
2013, -4
2004, 11
2003, 16
2011, 23
2008, -4
2012, -8
2014, 17
2003, -8
2018, -4
2003, 33
2004, 34
2014, 35
2023, -8
2022, 35
2002, 13
2023, 34
2020, 15
2003, -3
2005, -5
2022, 5
2007, 17
2021, -1
2023, 14
2003, -4
2005, 3
2020, 1
2014, 23
2022, 24
2009, 14
2015, -7
2022, 18
2007, -7
2008, 35
2004, 18
2010, 3
2018, 35
2008, -5
2003, -10
2013, 5
2020, 31
2025, 27
2021, -5
2024, -7
2018, 19
2025, 25
2004, 17
2000, 30
2024, 8
2020, 1
2003, -3
2015, 33
2001, 28
2025, 28
2015, 2
2007, 17
2010, 31
2006, 23
2020, -2
2024, -5
2016, 21
2003, 17
2020, 1
2014, 34
2017, -5
2013, 3
2016, 20
2022, -1
2009, 10
2007, 33
2007, 31
2006, 2
2007, -9
